origin,sugar,metabolism,carrying capacity,vision,lifespan,pollution rate,age,fitness,x,y
126.0,3.4335959537370675,1.0,17.0,5.0,32.0,0.0,11.0,3.4335959537370675,11.0,44.0
87.0,14.0,1.0,17.0,5.0,45.0,0.0,8.0,14.0,0.0,32.0
359.0,6.858715617328945,1.0,17.0,5.0,48.0,0.0,18.0,6.858715617328945,45.0,33.0
87.0,3.2067241857732807,1.0,16.0,5.0,45.0,0.0,5.0,3.2067241857732807,45.0,34.0
129.0,10.965551112899647,1.0,17.0,4.0,37.0,0.0,9.0,10.965551112899647,49.0,27.0
87.0,12.110325426202339,1.0,19.0,5.0,45.0,0.0,3.0,12.110325426202339,41.0,34.0
87.0,13.105147016284342,1.0,19.0,5.0,45.0,0.0,31.0,13.105147016284342,40.0,35.0
155.0,3.0779659131987938,1.0,19.0,5.0,44.0,0.0,5.0,3.0779659131987938,1.0,37.0
359.0,0.2946227729745088,1.0,19.0,5.0,48.0,0.0,15.0,0.2946227729745088,34.0,9.0
246.0,15.0,1.0,17.0,5.0,45.0,0.0,4.0,15.0,45.0,26.0
119.0,0.34559995155119627,1.0,19.0,4.0,48.0,0.0,40.0,0.34559995155119627,46.0,31.0
126.0,8.771759833979711,1.0,16.0,5.0,32.0,0.0,27.0,8.771759833979711,31.0,7.0
126.0,15.0,1.0,16.0,5.0,32.0,0.0,6.0,15.0,42.0,21.0
87.0,14.033393242631572,1.0,18.0,5.0,45.0,0.0,8.0,14.033393242631572,6.0,42.0
129.0,3.658755383426061,1.0,19.0,5.0,37.0,0.0,11.0,3.658755383426061,23.0,43.0
359.0,8.942816089972286,1.0,19.0,5.0,48.0,0.0,19.0,8.942816089972286,15.0,45.0
126.0,13.486365042609158,1.0,19.0,5.0,32.0,0.0,9.0,13.486365042609158,7.0,29.0
320.0,12.0,1.0,19.0,5.0,43.0,0.0,11.0,12.0,33.0,23.0
129.0,1.29639428027708,1.0,16.0,5.0,37.0,0.0,33.0,1.29639428027708,19.0,7.0
359.0,13.266249128423656,1.0,19.0,5.0,48.0,0.0,5.0,13.266249128423656,13.0,12.0
246.0,10.20841534670705,1.0,16.0,5.0,45.0,0.0,9.0,10.20841534670705,24.0,20.0
320.0,12.0,1.0,17.0,5.0,43.0,0.0,4.0,12.0,37.0,21.0
320.0,10.613992131989457,1.0,16.0,5.0,43.0,0.0,40.0,10.613992131989457,31.0,39.0
320.0,20.0,1.0,16.0,5.0,43.0,0.0,3.0,20.0,12.0,3.0
126.0,20.0,1.0,19.0,5.0,32.0,0.0,4.0,20.0,6.0,4.0
320.0,2.969983949939878,1.0,17.0,5.0,43.0,0.0,32.0,2.969983949939878,13.0,6.0
320.0,9.808289237958109,1.0,17.0,5.0,43.0,0.0,14.0,9.808289237958109,4.0,41.0
359.0,2.994003624664879,1.0,17.0,5.0,48.0,0.0,32.0,2.994003624664879,46.0,21.0
320.0,1.0011315250256132,1.0,16.0,5.0,43.0,0.0,37.0,1.0011315250256132,16.0,45.0
155.0,1.5351799771921613,1.0,17.0,5.0,44.0,0.0,21.0,1.5351799771921613,7.0,43.0
87.0,5.336396161293774,1.0,19.0,4.0,45.0,0.0,16.0,5.336396161293774,0.0,22.0
126.0,3.0,1.0,19.0,5.0,32.0,0.0,1.0,3.0,8.0,28.0
87.0,1.1055449582910808,1.0,17.0,5.0,45.0,0.0,8.0,1.1055449582910808,29.0,39.0
129.0,0.14005304849663713,1.0,17.0,4.0,37.0,0.0,23.0,0.14005304849663713,9.0,44.0
359.0,7.97253739955662,1.0,19.0,5.0,48.0,0.0,20.0,7.97253739955662,22.0,26.0
71.0,2.9785502622023707,1.0,16.0,5.0,33.0,0.0,19.0,2.9785502622023707,35.0,9.0
320.0,4.030551958793945,1.0,18.0,5.0,43.0,0.0,31.0,4.030551958793945,33.0,8.0
320.0,11.578336314100092,1.0,19.0,5.0,43.0,0.0,17.0,11.578336314100092,2.0,21.0
119.0,2.2300163163024465,1.0,19.0,4.0,48.0,0.0,29.0,2.2300163163024465,36.0,24.0
223.0,3.5968561808802892,1.0,19.0,5.0,41.0,0.0,6.0,3.5968561808802892,45.0,12.0
87.0,9.691842337896084,1.0,16.0,4.0,45.0,0.0,15.0,9.691842337896084,36.0,9.0
359.0,0.02383734158304307,1.0,19.0,5.0,48.0,0.0,10.0,0.02383734158304307,47.0,32.0
359.0,10.289460210641606,1.0,19.0,4.0,48.0,0.0,17.0,10.289460210641606,36.0,38.0
359.0,10.015232328132551,1.0,19.0,5.0,48.0,0.0,2.0,10.015232328132551,40.0,12.0
246.0,9.060117382295507,1.0,16.0,5.0,45.0,0.0,3.0,9.060117382295507,39.0,11.0
87.0,11.575777845027638,1.0,19.0,5.0,45.0,0.0,14.0,11.575777845027638,44.0,19.0
359.0,5.72756787520813,1.0,17.0,5.0,48.0,0.0,11.0,5.72756787520813,32.0,39.0
87.0,12.0,1.0,17.0,5.0,45.0,0.0,3.0,12.0,1.0,28.0
359.0,1.0511859537770336,1.0,19.0,5.0,48.0,0.0,15.0,1.0511859537770336,38.0,10.0
