origin,sugar,metabolism,caring capacity,vision,lifespan,pollution rate,age,fitness,x,y
25.0,14.278725435618348,1.0,28.0,4.0,49.0,0.0,11.0,0.0,34.0,14.0
355.0,0.9102376059801274,1.0,21.0,5.0,21.0,0.0,13.0,0.0,2.0,46.0
370.0,5.75474830895193,1.0,43.0,5.0,41.0,0.0,8.0,0.0,0.0,30.0
355.0,3.3970351631850058,1.0,35.0,5.0,21.0,0.0,13.0,0.0,24.0,31.0
210.0,0.9451553573394,1.0,28.0,5.0,29.0,0.0,26.0,0.0,40.0,49.0
370.0,3.0060817951849472,1.0,52.0,5.0,41.0,0.0,8.0,0.0,27.0,36.0
198.0,0.5161126817607409,1.0,43.0,5.0,37.0,0.0,21.0,0.0,26.0,14.0
268.0,12.249681847143277,1.0,27.0,5.0,27.0,0.0,6.0,0.0,34.0,1.0
210.0,19.00440688893153,1.0,35.0,5.0,29.0,0.0,2.0,0.0,21.0,31.0
25.0,19.6975366851821,1.0,27.0,4.0,49.0,0.0,4.0,0.0,11.0,28.0
198.0,1.8526054204622975,1.0,25.0,5.0,37.0,0.0,37.0,0.0,7.0,29.0
210.0,1.6986929555529677,1.0,28.0,5.0,29.0,0.0,28.0,0.0,31.0,12.0
370.0,16.22405595113999,1.0,25.0,5.0,41.0,0.0,8.0,0.0,10.0,46.0
198.0,10.191065678994853,1.0,28.0,5.0,37.0,0.0,7.0,0.0,27.0,35.0
25.0,1.0,1.0,28.0,4.0,49.0,0.0,3.0,0.0,33.0,11.0
76.0,7.70559719812926,1.0,28.0,5.0,49.0,0.0,8.0,0.0,24.0,11.0
370.0,7.005772564658777,1.0,28.0,5.0,41.0,0.0,7.0,0.0,26.0,38.0
370.0,7.005444361979158,1.0,27.0,5.0,41.0,0.0,4.0,0.0,27.0,34.0
370.0,9.300776138444114,1.0,21.0,5.0,41.0,0.0,20.0,0.0,24.0,13.0
76.0,1.3783039489929285,1.0,21.0,5.0,49.0,0.0,9.0,0.0,25.0,14.0
198.0,18.0,1.0,25.0,5.0,37.0,0.0,2.0,0.0,6.0,11.0
370.0,5.590325656811474,1.0,43.0,5.0,41.0,0.0,13.0,0.0,8.0,29.0
76.0,15.945793692721285,1.0,27.0,5.0,49.0,0.0,7.0,0.0,26.0,13.0
76.0,2.028416073583552,1.0,25.0,5.0,49.0,0.0,9.0,0.0,21.0,33.0
76.0,15.350643289048644,1.0,35.0,5.0,49.0,0.0,6.0,0.0,29.0,3.0
76.0,6.0,1.0,27.0,5.0,49.0,0.0,2.0,0.0,11.0,23.0
210.0,0.8617269429453822,1.0,27.0,5.0,29.0,0.0,10.0,0.0,10.0,28.0
76.0,15.063449453207237,1.0,52.0,5.0,49.0,0.0,4.0,0.0,22.0,3.0
76.0,1.1727112036049996,1.0,35.0,5.0,49.0,0.0,7.0,0.0,13.0,27.0
68.0,2.750843085351468,1.0,25.0,5.0,41.0,0.0,31.0,0.0,31.0,10.0
370.0,3.5858249618473215,1.0,21.0,5.0,41.0,0.0,23.0,0.0,26.0,2.0
76.0,9.63116839767319,1.0,52.0,5.0,49.0,0.0,6.0,0.0,12.0,28.0
370.0,17.46528711141184,1.0,52.0,5.0,41.0,0.0,11.0,0.0,4.0,30.0
370.0,10.175407673161079,1.0,27.0,5.0,41.0,0.0,7.0,0.0,21.0,32.0
370.0,3.632967013903177,1.0,28.0,5.0,41.0,0.0,15.0,0.0,9.0,29.0
76.0,3.192634768297717,1.0,27.0,5.0,49.0,0.0,43.0,0.0,5.0,30.0
370.0,4.321910138549104,1.0,28.0,5.0,41.0,0.0,18.0,0.0,26.0,18.0
395.0,6.449269045182635,1.0,27.0,3.0,39.0,0.0,17.0,0.0,27.0,33.0
76.0,14.550088555024162,1.0,27.0,5.0,49.0,0.0,3.0,0.0,38.0,48.0
370.0,9.407366599546682,1.0,28.0,5.0,41.0,0.0,10.0,0.0,22.0,31.0
370.0,12.560718779790662,1.0,28.0,5.0,41.0,0.0,13.0,0.0,44.0,29.0
68.0,3.0955626562636125,1.0,25.0,5.0,41.0,0.0,11.0,0.0,6.0,16.0
370.0,21.0,1.0,21.0,5.0,41.0,0.0,2.0,0.0,23.0,14.0
76.0,3.924972185658664,1.0,28.0,5.0,49.0,0.0,39.0,0.0,33.0,1.0
370.0,12.706858693082275,1.0,52.0,5.0,41.0,0.0,23.0,0.0,6.0,13.0
153.0,8.034435983607903,1.0,50.0,3.0,38.0,0.0,22.0,0.0,11.0,15.0
370.0,14.114590219790252,1.0,25.0,5.0,41.0,0.0,15.0,0.0,29.0,2.0
370.0,0.39703819090866066,1.0,35.0,5.0,41.0,0.0,11.0,0.0,30.0,2.0
210.0,2.430091185453473,1.0,27.0,5.0,29.0,0.0,12.0,0.0,42.0,49.0
370.0,7.298631542218473,1.0,50.0,5.0,41.0,0.0,14.0,0.0,26.0,32.0
198.0,10.202107731035566,1.0,28.0,5.0,37.0,0.0,10.0,0.0,12.0,46.0
76.0,1.5551353132336905,1.0,27.0,5.0,49.0,0.0,24.0,0.0,12.0,20.0
370.0,0.32186539961826566,1.0,28.0,5.0,41.0,0.0,5.0,0.0,44.0,49.0
198.0,8.55839149846231,1.0,35.0,5.0,37.0,0.0,30.0,0.0,49.0,30.0
370.0,11.030636051606228,1.0,28.0,5.0,41.0,0.0,24.0,0.0,43.0,49.0
153.0,9.275792361920562,1.0,27.0,3.0,38.0,0.0,10.0,0.0,17.0,8.0
210.0,0.1371079228026364,1.0,27.0,5.0,29.0,0.0,8.0,0.0,1.0,46.0
370.0,5.5926225830081195,1.0,21.0,5.0,41.0,0.0,21.0,0.0,6.0,45.0
395.0,6.000170157234595,1.0,28.0,3.0,39.0,0.0,1.0,0.0,26.0,33.0
178.0,15.001834538194483,1.0,27.0,5.0,25.0,0.0,2.0,0.0,23.0,31.0
370.0,7.740204526522827,1.0,28.0,5.0,41.0,0.0,15.0,0.0,25.0,2.0
210.0,14.530675578195877,1.0,35.0,5.0,29.0,0.0,20.0,0.0,48.0,47.0
76.0,9.83233126510552,1.0,25.0,5.0,49.0,0.0,15.0,0.0,22.0,32.0
25.0,16.0,1.0,28.0,4.0,49.0,0.0,5.0,0.0,36.0,13.0
370.0,0.003218560774528534,1.0,52.0,5.0,41.0,0.0,5.0,0.0,25.0,39.0
370.0,6.487547570606378,1.0,28.0,5.0,41.0,0.0,21.0,0.0,6.0,30.0
153.0,1.5208216816511637,1.0,27.0,3.0,38.0,0.0,9.0,0.0,32.0,3.0
153.0,11.152332104687702,1.0,21.0,3.0,38.0,0.0,12.0,0.0,14.0,12.0
